# BPmag  e_BPmag  RPmag  e_RPmag  Gmag  e_Gmag  GABS  e_GABS
1.812839999999999918e+01 1.571259044862518064e-02 1.521160000000000068e+01 3.430241374952609432e-03 1.647100000000000009e+01 7.985554893610760218e-04 1.151676665953854162e+01 1.255078411244259576e-02
2.107199999999999918e+01 1.172505399568034568e-01 1.747070000000000078e+01 1.569895893580103979e-02 1.894859999999999900e+01 2.347190695462308269e-03 1.401088789100386656e+01 5.136843091055514482e-02
1.975159999999999982e+01 4.117330299582858816e-02 1.630740000000000123e+01 3.532585000813404444e-03 1.765009999999999835e+01 9.177154738861793663e-04 1.290856320899018428e+01 1.783455897001039528e-02
1.790099999999999980e+01 1.037298175217349697e-02 1.491549999999999976e+01 1.574083739271630667e-03 1.617249999999999943e+01 8.427302927753112412e-04 1.151602609845970626e+01 9.868292673031325846e-03
1.753269999999999840e+01 1.101156186612576096e-02 1.463299999999999912e+01 1.592204249827689844e-03 1.587930000000000064e+01 6.275627279505689845e-04 1.112790911076217704e+01 7.906771346360473227e-03
6.489200000000000301e+00 6.654286484763795003e-04 6.296400000000000219e+00 5.813339615670862215e-04 6.429599999999999760e+00 2.989125347575915886e-04 1.818800513674967867e+00 2.615630633411457004e-02
1.736179999999999879e+01 5.898516868582604628e-03 1.456320000000000014e+01 1.675550548619577328e-03 1.577960000000000029e+01 6.649029658344202381e-04 1.101733716539317598e+01 6.739782697509718104e-03
5.768299999999999983e+00 1.188042324568602294e-03 5.656100000000000350e+00 1.135782580496683819e-03 5.739700000000000024e+00 5.500537013394937507e-04 9.948834757060653899e-01 9.846564017881255862e-03
1.792930000000000135e+01 1.036011450381679397e-02 1.496119999999999983e+01 1.737045036397088247e-03 1.621109999999999829e+01 6.127927124546362183e-04 1.162879225615069601e+01 9.956304845676210505e-03
1.827700000000000102e+01 1.854697642637512592e-02 1.522020000000000017e+01 2.158657574010377882e-03 1.649859999999999971e+01 6.656448676054956513e-04 1.175706320899018564e+01 1.389802779800729422e-02
1.674660000000000082e+01 5.288038184297681396e-03 1.400319999999999965e+01 1.461528106827482106e-03 1.521460000000000079e+01 7.913787573981748017e-04 1.057180063588943852e+01 7.213014134134301987e-03
1.837109999999999843e+01 1.360576441102756898e-02 1.527679999999999971e+01 1.956605575678938697e-03 1.654820000000000135e+01 8.465214916692006143e-04 1.196463784663641583e+01 1.013989628837937140e-02
2.072860000000000014e+01 9.746319569120286130e-02 1.708859999999999957e+01 7.013371229248756278e-03 1.856090000000000018e+01 1.693478701667368519e-03 1.386665390464274417e+01 3.716037380163060566e-02
1.947650000000000148e+01 3.471035805626598164e-02 1.608249999999999957e+01 3.691737504250254456e-03 1.741779999999999973e+01 1.290795824714078459e-03 1.274569857364224212e+01 1.796527992020777870e-02
2.082489999999999952e+01 8.469110764430576310e-02 1.708770000000000167e+01 8.333896223518575536e-03 1.853910000000000124e+01 1.560038507406928242e-03 1.378867717836749129e+01 3.671861161568844290e-02
1.924249999999999972e+01 3.207503692762185554e-02 1.597390000000000043e+01 3.154661940320190212e-03 1.727560000000000073e+01 9.608573678947227893e-04 1.260050910848652883e+01 1.335996679973114158e-02
1.558239999999999981e+01 1.962298933670703158e-03 1.305359999999999943e+01 7.709086261617875127e-04 1.420839999999999925e+01 3.574370302577388600e-04 9.422261687488369120e+00 3.697113733747268375e-03
1.213460000000000072e+01 5.791354626725553692e-04 1.075699999999999967e+01 4.030215293244246129e-04 1.151219999999999999e+01 2.459463500160832079e-04 6.859060271542572806e+00 4.983135278919005595e-03
1.938390000000000057e+01 4.000515843773028157e-02 1.599549999999999983e+01 4.455963227448083222e-03 1.732000000000000028e+01 1.102363643747715592e-03 1.264378699714839804e+01 2.230692104902670669e-02
1.229780000000000051e+01 5.549541260957345208e-04 1.087770000000000081e+01 3.469250162160780033e-04 1.166329999999999956e+01 3.491058050327003315e-04 6.929460744202511790e+00 6.262518231001791384e-03
2.146529999999999916e+01 1.591994134897360413e-01 1.816659999999999897e+01 1.563565668202765088e-02 1.973089999999999833e+01 2.937369802234667156e-03 1.521214691594805579e+01 6.445257851328763110e-02
1.754289999999999949e+01 8.751027645683888065e-03 1.469040000000000035e+01 2.004023773487393235e-03 1.591990000000000016e+01 5.510727173984762348e-04 1.120975115855352655e+01 7.775896059478775227e-03
1.041810000000000080e+01 1.784611844376140155e-03 9.507099999999999440e+00 1.243531742850270856e-03 1.004679999999999929e+01 6.160541531198756053e-04 5.298118613228979257e+00 1.048381234280700187e-02
1.896249999999999858e+01 2.561915998112316781e-02 1.572649999999999970e+01 4.515074645485923389e-03 1.702349999999999852e+01 9.668037969047746111e-04 1.240159972964387691e+01 1.804064330251013704e-02
1.923860000000000170e+01 3.356228748068006140e-02 1.592019999999999946e+01 2.806254846213491853e-03 1.723000000000000043e+01 8.668790470031217509e-04 1.250861133241788181e+01 1.628668735632887374e-02
1.909489999999999910e+01 2.557089024964672580e-02 1.560899999999999999e+01 2.735412677617655563e-03 1.696120000000000161e+01 7.663650352217061656e-04 1.224305589737764599e+01 1.412983806140420337e-02
1.542130000000000045e+01 1.930479001457985127e-03 1.298869999999999969e+01 9.893839018033697558e-04 1.411700000000000088e+01 4.043754515862315203e-04 9.550578319724413845e+00 3.470252923323599061e-03
9.765599999999999170e+00 8.822420489818469944e-04 8.966100000000000847e+00 6.450144955087685258e-04 9.450599999999999667e+00 2.784341381476875010e-04 4.788186009518376807e+00 2.583933188524283921e-03
2.120260000000000034e+01 1.117016460905349701e-01 1.769119999999999848e+01 9.532396839332747673e-03 1.921499999999999986e+01 2.341622274462440857e-03 1.455778447536181552e+01 4.808905010405049169e-02
2.025840000000000174e+01 8.096495152870991641e-02 1.685589999999999833e+01 7.474459589701225488e-03 1.827359999999999829e+01 1.336788968234424923e-03 1.354647377647411233e+01 3.036379393334530039e-02
2.031200000000000117e+01 8.848736756316218088e-02 1.680709999999999837e+01 5.290099395829272501e-03 1.824409999999999954e+01 1.511730552345414173e-03 1.358447244953824118e+01 2.826199004585450841e-02
1.629520000000000124e+01 8.399659600804579990e-03 1.344800000000000040e+01 4.513948364029434467e-03 1.470330000000000048e+01 6.377851923212480992e-04 1.015758697990766990e+01 4.734186289151611979e-03
1.837719999999999843e+01 1.199315144151110075e-02 1.530860000000000021e+01 1.492918626075956249e-03 1.658289999999999864e+01 6.282454099906839128e-04 1.177361544984971076e+01 1.114954316220029447e-02
1.579260000000000019e+01 2.996302020090517524e-03 1.328149999999999942e+01 1.238990768107176748e-03 1.443200000000000038e+01 5.586490421968500018e-04 9.818294318464740655e+00 3.541380097353421120e-03
1.513659999999999961e+01 2.452098107412258986e-03 1.286860000000000070e+01 1.479794469204453924e-03 1.395400000000000063e+01 3.738825603658452201e-04 9.232611332417882011e+00 3.456360946126496060e-03
1.414719999999999978e+01 1.743656452752617844e-03 1.212509999999999977e+01 8.621774001429365758e-04 1.313439999999999941e+01 4.455652359475863189e-04 8.324120776015492496e+00 7.866382793841070892e-03
1.601760000000000161e+01 2.321296474461762016e-03 1.345149999999999935e+01 9.130924748545093429e-04 1.461749999999999972e+01 3.926826357267634328e-04 9.921744365194037130e+00 1.159828022361340805e-02
2.175560000000000116e+01 3.102114285714285269e-01 1.882389999999999830e+01 4.669849462365591175e-02 2.035729999999999862e+01 6.330845481049562039e-03 1.585811844483021993e+01 1.112453932070900653e-01
9.769999999999999574e+00 1.396863380807184104e-03 8.960300000000000153e+00 8.854221033402922365e-04 9.449999999999999289e+00 4.190590142421551987e-04 4.833384228528213811e+00 2.907815024010516457e-03
1.573199999999999932e+01 3.489105983675043054e-03 1.333750000000000036e+01 1.238058314423526275e-03 1.445420000000000016e+01 5.545912868475223008e-04 9.667077562200953267e+00 4.927458006069772301e-03
