# BPmag  e_BPmag  RPmag  e_RPmag  Gmag  e_Gmag  GABS  e_GABS
1.698430000000000106e+01 5.244614046951984708e-03 1.378420000000000023e+01 1.199885066363123908e-03 1.508389999999999986e+01 5.506255610270661743e-04 1.179087475762020887e+01 4.436019621761151492e-03
1.034179999999999922e+01 8.050390010973691723e-04 9.055500000000000327e+00 5.452500163212421541e-04 9.769099999999999895e+00 2.975975440952759177e-04 6.459090255614801990e+00 1.665111435173632958e-03
1.502909999999999968e+01 7.468289998624294719e-03 1.204410000000000025e+01 2.803646129215514073e-03 1.333869999999999933e+01 2.270425127036239128e-03 1.007114946283542167e+01 1.844140724008570473e-02
1.548240000000000016e+01 5.012650046168051592e-03 1.251370000000000005e+01 1.392474221515415701e-03 1.377110000000000056e+01 8.096857428371141783e-04 1.048025028460255292e+01 2.689614539906311219e-02
1.499300000000000033e+01 1.288849847461449871e-03 1.510720000000000063e+01 1.592180900985452809e-03 1.502190000000000047e+01 6.512590424319492912e-04 1.193180500021732193e+01 2.835865355502123746e-03
1.454679999999999929e+01 3.385003897116133694e-03 1.170500000000000007e+01 1.689762505058050755e-03 1.293979999999999997e+01 9.458324621924871570e-04 9.724134233411929173e+00 6.605210107507477127e-03
9.194499999999999673e+00 1.890512092772196184e-03 8.134399999999999409e+00 1.231235045303516375e-03 8.745100000000000762e+00 5.692937703508339168e-04 5.695269029478797762e+00 1.716744790307975178e-03
6.053099999999999703e+00 1.092590542702746078e-03 5.576299999999999812e+00 1.531108980144404216e-03 5.884000000000000341e+00 3.645477987590319035e-04 2.710878264130760940e+00 2.936239697538042294e-03
1.706869999999999976e+01 1.834640081108482312e-02 1.391409999999999947e+01 1.840143721505686173e-03 1.522579999999999956e+01 5.138405766236470509e-04 1.206006184756131816e+01 4.223538715162360527e-03
9.664500000000000313e+00 4.344871743567169792e-03 8.584400000000000475e+00 3.144156145024904359e-03 9.210800000000000765e+00 1.287565965016305861e-03 5.823240302590390272e+00 2.077738818224838125e-03
8.674699999999999633e+00 2.999281767955800926e-01 7.640200000000000102e+00 2.591264916467779789e-01 8.682100000000000151e+00 1.535526390224585449e-03 5.495077787744099496e+00 4.402507069050582041e-03
6.166199999999999903e+00 9.494967161934078333e-04 5.659500000000000419e+00 1.160859198751189531e-03 5.984899999999999665e+00 3.946982888676426097e-04 2.779426051565236477e+00 2.772630407384517499e-03
1.069810000000000016e+01 1.930719302925224196e-03 9.286899999999999267e+00 1.597169714176436802e-03 1.005160000000000053e+01 6.169222639536798766e-04 6.786199629228107710e+00 1.807319692905239418e-03
1.643629999999999924e+01 6.103434706841306435e-03 1.329390000000000072e+01 1.043830216795654277e-03 1.458099999999999952e+01 8.043352643977894588e-04 1.121544309953718610e+01 4.277665472514530914e-03
1.537199999999999989e+01 5.674401588794814912e-03 1.254959999999999987e+01 2.762416039079991590e-03 1.377630000000000088e+01 1.079919235321616508e-03 1.038491337173004680e+01 2.152811431044615934e-03
7.999299999999999855e+00 1.752380644953032383e-03 7.245700000000000252e+00 1.251155233409004469e-03 7.705599999999999561e+00 5.256675300781912547e-04 4.334717095013721710e+00 2.369471517579362346e-03
1.853109999999999857e+01 1.185953031130529758e-02 1.491019999999999968e+01 1.383460754332314045e-03 1.627929999999999922e+01 6.869250528287084356e-04 1.299407675897994885e+01 6.869144220015949674e-03
1.013490000000000002e+01 1.534896871509959255e-03 8.923999999999999488e+00 8.599035346855372431e-04 9.604400000000000048e+00 3.380598316146066966e-04 6.275763787035778307e+00 1.817886993148654573e-03
1.759730000000000061e+01 8.928048680207219603e-03 1.412899999999999956e+01 1.387775448642568571e-03 1.554330000000000034e+01 4.925107734180086266e-03 1.211158173309015673e+01 2.183449982172966375e-02
