# BPmag  e_BPmag  RPmag  e_RPmag  Gmag  e_Gmag  GABS  e_GABS
8.189399999999999125e+00 1.459916633050961166e-03 7.086000000000000298e+00 1.208970347523021394e-03 7.719899999999999984e+00 3.935837018777640548e-04 5.840175446412130711e+00 1.486657319031317592e-03
9.833399999999999253e+00 1.406162174763316963e-03 8.463800000000000878e+00 1.028698659339618042e-03 9.212699999999999889e+00 4.104256445150071347e-04 6.711341555750862220e+00 1.232908491825226169e-03
1.363339999999999996e+01 3.291816996634629785e-03 1.113790000000000013e+01 1.817503096856272178e-03 1.237149999999999928e+01 5.750071495906197228e-04 9.454702536691403481e+00 3.057183877536804283e-03
1.649589999999999890e+01 9.764727043798902828e-03 1.326350000000000051e+01 2.815569731860380429e-03 1.457329999999999970e+01 8.808106047085164335e-04 1.195143805720540442e+01 3.076195830533325157e-03
1.379940000000000033e+01 2.106269884379607330e-03 1.144120000000000026e+01 1.159953847140018316e-03 1.254879999999999995e+01 5.571840584618857877e-04 9.176173063976651889e+00 2.615555294889462118e-03
1.883909999999999840e+01 2.118930523028883517e-02 1.508099999999999952e+01 2.396512526211234690e-03 1.647040000000000148e+01 1.317565681694071993e-03 1.336166253037517393e+01 9.198098089588482504e-03
1.566060000000000052e+01 3.861919328448459952e-03 1.272470000000000034e+01 1.076183490603441423e-03 1.397220000000000084e+01 5.770271203915795484e-04 1.116293318123374512e+01 2.546120614621960338e-03
1.401329999999999920e+01 1.808963678773741878e-03 1.144410000000000061e+01 9.734522795535033692e-04 1.261340000000000039e+01 5.530544985915636326e-04 9.915784345257254273e+00 2.140950105591240150e-03
1.897879999999999967e+01 2.122658846529814139e-02 1.500740000000000052e+01 2.185335024052492692e-03 1.645100000000000051e+01 8.587676975401407464e-04 1.334398869726651427e+01 1.682448340264698639e-02
1.490680000000000049e+01 2.735205945333165148e-03 1.196359999999999957e+01 1.578752980864305032e-03 1.322020000000000017e+01 7.536197681682514160e-04 1.062633788999660212e+01 1.603512073526887783e-03
1.670090000000000074e+01 5.626470435819038579e-03 1.350469999999999970e+01 1.788639583539257350e-03 1.480690000000000062e+01 7.366392791961516367e-04 1.172481002303242192e+01 3.284280552588306375e-03
2.109880000000000067e+01 1.301846522781774651e-01 1.673890000000000100e+01 6.875688683427268362e-03 1.830949999999999989e+01 2.025180929642617349e-03 1.546543396658999825e+01 1.914450952333666967e-02
1.449920000000000009e+01 1.625067353170089098e-03 1.175810000000000066e+01 8.266887981969909356e-04 1.296209999999999951e+01 5.825379196377312519e-04 9.530381733090155905e+00 2.606521334187996385e-03
1.577749999999999986e+01 3.775830290384280408e-03 1.264910000000000068e+01 1.240307066645342411e-03 1.393479999999999919e+01 7.815183513643855382e-04 1.169661990893342107e+01 1.857263420091943059e-03
1.670390000000000086e+01 8.829307961291370938e-03 1.355039999999999978e+01 2.136694611721179100e-03 1.484190000000000076e+01 8.946661502838731440e-04 1.169603773892188059e+01 3.189220055505908452e-03
1.851429999999999865e+01 2.584479885741490165e-02 1.486890000000000001e+01 2.420663054868124782e-03 1.624909999999999854e+01 1.333750998095939964e-03 1.312430720836463038e+01 7.461571899815813182e-03
1.344950000000000045e+01 2.014397298651180845e-03 1.113790000000000013e+01 1.099216392977908976e-03 1.223189999999999955e+01 6.775077220679541923e-04 9.155995919759797985e+00 2.100568010891866975e-03
1.767490000000000094e+01 1.234918107370336533e-02 1.417290000000000028e+01 2.117938514357053676e-03 1.552469999999999928e+01 8.721573793668515500e-04 1.281932383117047181e+01 3.947023554201289919e-03
1.423109999999999964e+01 2.903125752025454819e-03 1.145010000000000083e+01 1.109471597469880756e-03 1.266929999999999978e+01 6.774104992575399669e-04 9.923623461898831266e+00 7.009357689489386506e-03
1.722680000000000078e+01 5.102881045260139470e-03 1.418120000000000047e+01 2.412862793901951117e-03 1.545180000000000042e+01 7.019946335628616261e-04 1.160532156806284654e+01 4.900292383935615607e-03
1.503880000000000017e+01 2.036882785532042467e-03 1.253800000000000026e+01 9.057041325347436108e-04 1.368340000000000067e+01 4.608580124028506899e-04 9.726681502536239421e+00 2.416216307570142642e-03
1.148000000000000043e+01 1.148311493268183194e-03 1.000270000000000081e+01 6.980814237584547855e-04 1.079729999999999990e+01 3.464954411853875347e-04 6.946732646229460073e+00 2.717020342574880901e-03
1.663840000000000074e+01 4.455231842429216264e-03 1.344960000000000022e+01 1.253640006004133481e-03 1.474639999999999951e+01 6.809025687336945189e-04 1.188188216274658160e+01 3.029814568664683083e-03
2.016489999999999938e+01 7.799856321839079842e-02 1.571180000000000021e+01 2.297716547097538708e-03 1.723509999999999920e+01 1.253625531128763982e-03 1.440162849354061336e+01 9.525051336361431420e-03
1.315939999999999976e+01 1.466205723082740107e-03 1.118389999999999951e+01 8.207458026865830031e-04 1.217019999999999946e+01 4.056399699620041183e-04 8.264189990558687526e+00 2.799321248008189086e-03
1.582249999999999979e+01 1.051156936779939870e-02 1.302360000000000007e+01 4.619187406934694567e-03 1.424269999999999925e+01 2.203474448999472122e-03 1.033222437101332147e+01 4.255494491199281193e-03
