# BPmag  e_BPmag  RPmag  e_RPmag  Gmag  e_Gmag  GABS  e_GABS
8.189399999999999125e+00 1.459916633050961166e-03 7.086000000000000298e+00 1.208970347523021394e-03 7.719899999999999984e+00 3.935837018777640548e-04 5.840175446412130711e+00 1.486657319031317592e-03
9.833399999999999253e+00 1.406162174763316963e-03 8.463800000000000878e+00 1.028698659339618042e-03 9.212699999999999889e+00 4.104256445150071347e-04 6.711341555750862220e+00 1.232908491825226169e-03
1.363339999999999996e+01 3.291816996634629785e-03 1.113790000000000013e+01 1.817503096856272178e-03 1.237149999999999928e+01 5.750071495906197228e-04 9.454702536691403481e+00 3.057183877536804283e-03
1.649589999999999890e+01 9.764727043798902828e-03 1.326350000000000051e+01 2.815569731860380429e-03 1.457329999999999970e+01 8.808106047085164335e-04 1.195143805720540442e+01 3.076195830533325157e-03
1.379940000000000033e+01 2.106269884379607330e-03 1.144120000000000026e+01 1.159953847140018316e-03 1.254879999999999995e+01 5.571840584618857877e-04 9.176173063976651889e+00 2.615555294889462118e-03
1.883909999999999840e+01 2.118930523028883517e-02 1.508099999999999952e+01 2.396512526211234690e-03 1.647040000000000148e+01 1.317565681694071993e-03 1.336166253037517393e+01 9.198098089588482504e-03
1.566060000000000052e+01 3.861919328448459952e-03 1.272470000000000034e+01 1.076183490603441423e-03 1.397220000000000084e+01 5.770271203915795484e-04 1.116293318123374512e+01 2.546120614621960338e-03
1.401329999999999920e+01 1.808963678773741878e-03 1.144410000000000061e+01 9.734522795535033692e-04 1.261340000000000039e+01 5.530544985915636326e-04 9.915784345257254273e+00 2.140950105591240150e-03
1.897879999999999967e+01 2.122658846529814139e-02 1.500740000000000052e+01 2.185335024052492692e-03 1.645100000000000051e+01 8.587676975401407464e-04 1.334398869726651427e+01 1.682448340264698639e-02
1.490680000000000049e+01 2.735205945333165148e-03 1.196359999999999957e+01 1.578752980864305032e-03 1.322020000000000017e+01 7.536197681682514160e-04 1.062633788999660212e+01 1.603512073526887783e-03
1.698430000000000106e+01 5.244614046951984708e-03 1.378420000000000023e+01 1.199885066363123908e-03 1.508389999999999986e+01 5.506255610270661743e-04 1.179087475762020887e+01 4.436019621761151492e-03
1.034179999999999922e+01 8.050390010973691723e-04 9.055500000000000327e+00 5.452500163212421541e-04 9.769099999999999895e+00 2.975975440952759177e-04 6.459090255614801990e+00 1.665111435173632958e-03
1.670090000000000074e+01 5.626470435819038579e-03 1.350469999999999970e+01 1.788639583539257350e-03 1.480690000000000062e+01 7.366392791961516367e-04 1.172481002303242192e+01 3.284280552588306375e-03
1.502909999999999968e+01 7.468289998624294719e-03 1.204410000000000025e+01 2.803646129215514073e-03 1.333869999999999933e+01 2.270425127036239128e-03 1.007114946283542167e+01 1.844140724008570473e-02
1.548240000000000016e+01 5.012650046168051592e-03 1.251370000000000005e+01 1.392474221515415701e-03 1.377110000000000056e+01 8.096857428371141783e-04 1.048025028460255292e+01 2.689614539906311219e-02
1.499300000000000033e+01 1.288849847461449871e-03 1.510720000000000063e+01 1.592180900985452809e-03 1.502190000000000047e+01 6.512590424319492912e-04 1.193180500021732193e+01 2.835865355502123746e-03
2.109880000000000067e+01 1.301846522781774651e-01 1.673890000000000100e+01 6.875688683427268362e-03 1.830949999999999989e+01 2.025180929642617349e-03 1.546543396658999825e+01 1.914450952333666967e-02
1.454679999999999929e+01 3.385003897116133694e-03 1.170500000000000007e+01 1.689762505058050755e-03 1.293979999999999997e+01 9.458324621924871570e-04 9.724134233411929173e+00 6.605210107507477127e-03
1.449920000000000009e+01 1.625067353170089098e-03 1.175810000000000066e+01 8.266887981969909356e-04 1.296209999999999951e+01 5.825379196377312519e-04 9.530381733090155905e+00 2.606521334187996385e-03
1.577749999999999986e+01 3.775830290384280408e-03 1.264910000000000068e+01 1.240307066645342411e-03 1.393479999999999919e+01 7.815183513643855382e-04 1.169661990893342107e+01 1.857263420091943059e-03
9.194499999999999673e+00 1.890512092772196184e-03 8.134399999999999409e+00 1.231235045303516375e-03 8.745100000000000762e+00 5.692937703508339168e-04 5.695269029478797762e+00 1.716744790307975178e-03
6.053099999999999703e+00 1.092590542702746078e-03 5.576299999999999812e+00 1.531108980144404216e-03 5.884000000000000341e+00 3.645477987590319035e-04 2.710878264130760940e+00 2.936239697538042294e-03
1.706869999999999976e+01 1.834640081108482312e-02 1.391409999999999947e+01 1.840143721505686173e-03 1.522579999999999956e+01 5.138405766236470509e-04 1.206006184756131816e+01 4.223538715162360527e-03
9.664500000000000313e+00 4.344871743567169792e-03 8.584400000000000475e+00 3.144156145024904359e-03 9.210800000000000765e+00 1.287565965016305861e-03 5.823240302590390272e+00 2.077738818224838125e-03
1.670390000000000086e+01 8.829307961291370938e-03 1.355039999999999978e+01 2.136694611721179100e-03 1.484190000000000076e+01 8.946661502838731440e-04 1.169603773892188059e+01 3.189220055505908452e-03
1.851429999999999865e+01 2.584479885741490165e-02 1.486890000000000001e+01 2.420663054868124782e-03 1.624909999999999854e+01 1.333750998095939964e-03 1.312430720836463038e+01 7.461571899815813182e-03
