# BPmag  e_BPmag  RPmag  e_RPmag  Gmag  e_Gmag  GABS  e_GABS
1.771438980102539062e+01 7.919215787356732178e-03 1.526869392395019531e+01 2.342081418986528395e-03 1.639202308654785156e+01 7.027130780789404407e-04 9.711772422206202293e+00 7.027130780789404407e-04
1.781411361694335938e+01 8.114540272971298290e-03 1.536605834960937500e+01 1.851947022931486843e-03 1.649545288085937500e+01 7.424039231699201607e-04 9.831354193429401533e+00 7.424039231699201607e-04
1.336850452423095703e+01 1.237245826039636747e-03 1.206509590148925781e+01 7.506999913403967790e-04 1.278429603576660156e+01 2.848785407465790438e-04 6.551746815535810953e+00 2.848785407465790438e-04
1.951952743530273438e+01 5.881736451217397382e-02 1.639525794982910156e+01 5.061079052064310774e-03 1.767680358886718750e+01 1.432241238064129070e-03 1.146202551071362130e+01 1.432241238064129070e-03
1.813180923461914062e+01 1.383575023180283296e-02 1.531797409057617188e+01 3.089028041605968410e-03 1.653335571289062500e+01 9.419832587513887745e-04 1.031004089152606618e+01 9.419832587513887745e-04
1.662793731689453125e+01 4.697163203500382203e-03 1.436019611358642578e+01 1.183994803106421705e-03 1.543915748596191406e+01 5.545312326891781813e-04 8.949405192212315896e+00 5.545312326891781813e-04
1.595507144927978516e+01 2.268916271683271528e-03 1.383346843719482422e+01 7.373650074400696364e-04 1.486635208129882812e+01 4.878863088329189659e-04 8.628027341528223815e+00 4.878863088329189659e-04
2.031371116638183594e+01 6.547941549396060767e-02 1.703955459594726562e+01 8.235329267078846452e-03 1.834968185424804688e+01 2.091584632992518709e-03 1.191959042443504657e+01 2.091584632992518709e-03
1.288246250152587891e+01 1.773322547114691361e-03 1.180123615264892578e+01 1.255969830341919363e-03 1.242094326019287109e+01 5.367007260475306716e-04 5.834532114605501363e+00 5.367007260475306716e-04
1.939092254638671875e+01 5.298765100523704363e-02 1.620783424377441406e+01 5.512057079007921627e-03 1.751745223999023438e+01 1.370997629219337759e-03 1.122719559066926998e+01 1.370997629219337759e-03
1.568528556823730469e+01 2.543664506951664409e-03 1.341152286529541016e+01 1.212498074284332596e-03 1.449463939666748047e+01 3.627420785410939209e-04 9.038354989017385321e+00 3.627420785410939209e-04
1.853338050842285156e+01 1.983330383821020615e-02 1.571424770355224609e+01 3.648891561418711026e-03 1.693727493286132812e+01 1.486054440988345774e-03 1.022464562510710095e+01 1.486054440988345774e-03
1.887344169616699219e+01 2.754128979680307496e-02 1.611674118041992188e+01 4.564263544106927743e-03 1.733088302612304688e+01 1.190596177405398894e-03 1.076955669276817851e+01 1.190596177405398894e-03
1.971873283386230469e+01 5.781570219757183049e-02 1.655349731445312500e+01 6.222534067811268804e-03 1.786255455017089844e+01 1.562911300686454629e-03 1.141620162506878700e+01 1.562911300686454629e-03
1.262268638610839844e+01 1.498699870524903069e-03 1.154321670532226562e+01 8.171129279828668115e-04 1.216367816925048828e+01 3.892519130686481052e-04 5.782796575631074631e+00 3.892519130686481052e-04
1.457970809936523438e+01 1.563833925650574570e-03 1.293251419067382812e+01 6.188579270666837292e-04 1.379594898223876953e+01 3.209675351712115102e-04 7.404830545389280871e+00 3.209675351712115102e-04
1.868963050842285156e+01 3.527975396661403584e-02 1.565210056304931641e+01 4.263777202043974278e-03 1.690906715393066406e+01 1.369084295273583374e-03 1.055057221062191175e+01 1.369084295273583374e-03
1.914575004577636719e+01 3.843304079756800634e-02 1.614106941223144531e+01 4.907749937597031577e-03 1.741298675537109375e+01 1.373299895262203047e-03 1.078870859822125183e+01 1.373299895262203047e-03
1.565161609649658203e+01 2.265469610733697545e-03 1.369057273864746094e+01 1.106797869798054187e-03 1.467168235778808594e+01 3.219623584470801417e-04 8.141032714913674084e+00 3.219623584470801417e-04
1.380093097686767578e+01 1.594215272549989477e-03 1.242443943023681641e+01 1.209661985128623971e-03 1.317704200744628906e+01 3.804051144711881717e-04 6.742376410230701111e+00 3.804051144711881717e-04
1.959424972534179688e+01 6.533101696936351177e-02 1.656980514526367188e+01 6.813565898012523443e-03 1.786513137817382812e+01 1.689771872548342458e-03 1.121464621860229727e+01 1.689771872548342458e-03
1.708387374877929688e+01 5.149390210789401776e-03 1.474045372009277344e+01 1.580678041586005547e-03 1.584488296508789062e+01 5.639452508389704126e-04 9.138826025565597533e+00 5.639452508389704126e-04
1.957480430603027344e+01 5.328386234495235269e-02 1.652327919006347656e+01 7.257107062718468928e-03 1.780624580383300781e+01 1.346175801281869217e-03 1.108187878993881803e+01 1.346175801281869217e-03
1.710056495666503906e+01 7.670191682955457627e-03 1.453576946258544922e+01 1.839854150141908163e-03 1.569716835021972656e+01 7.465504647358189600e-04 9.887274465998439510e+00 7.465504647358189600e-04
1.553439140319824219e+01 2.360537218100062541e-03 1.359029674530029297e+01 1.026143627401495751e-03 1.456449413299560547e+01 3.812811955339803619e-04 8.307098809554140928e+00 3.812811955339803619e-04
1.884742164611816406e+01 2.621623750775907424e-02 1.613568878173828125e+01 4.194790001274558908e-03 1.732909011840820312e+01 9.061629863909212695e-04 1.087692001145155807e+01 9.061629863909212695e-04
2.080450630187988281e+01 1.009981916930809964e-01 1.757651329040527344e+01 9.654386224800822966e-03 1.887053298950195312e+01 1.968871534658807321e-03 1.194344329386210646e+01 1.968871534658807321e-03
1.903938484191894531e+01 4.327852864067863181e-02 1.609037590026855469e+01 5.975346259094434578e-03 1.734370994567871094e+01 1.124541343641481108e-03 1.093012791153637053e+01 1.124541343641481108e-03
1.706693649291992188e+01 6.308211647579808554e-03 1.734597015380859375e+01 1.347226928840043227e-02 1.715253067016601562e+01 1.112158029691743232e-03 1.055315436905961235e+01 1.112158029691743232e-03
1.953331947326660156e+01 5.918585649219169909e-02 1.661076736450195312e+01 8.405710827475447802e-03 1.785869789123535156e+01 1.881072846460799365e-03 1.075205318848923852e+01 1.881072846460799365e-03
1.999306488037109375e+01 9.159209900833496787e-02 1.699232864379882812e+01 1.126057340810308026e-02 1.826058197021484375e+01 2.065714269456832460e-03 1.164285356564349883e+01 2.065714269456832460e-03
1.638358688354492188e+01 3.220073686703800973e-03 1.429180335998535156e+01 1.288257564548976044e-03 1.531730079650878906e+01 4.225386154440493192e-04 8.483667869367451431e+00 4.225386154440493192e-04
1.948431968688964844e+01 4.848714612264978796e-02 1.639297103881835938e+01 3.798089882842458145e-03 1.766871643066406250e+01 1.088686577000152252e-03 1.151809262822003355e+01 1.088686577000152252e-03
1.751710700988769531e+01 8.093105919000987900e-03 1.499547958374023438e+01 1.746048778314039781e-03 1.615601348876953125e+01 7.053644636248529096e-04 9.674621659482792069e+00 7.053644636248529096e-04
