# BPmag  e_BPmag  RPmag  e_RPmag  Gmag  e_Gmag  GABS  e_GABS
1.427174091339111328e+01 1.310439600154817818e-03 1.269761180877685547e+01 7.718103711967258616e-04 1.353177642822265625e+01 3.831405283924485777e-04 7.191738183723771272e+00 3.831405283924485777e-04
1.463818264007568359e+01 1.371983973435187505e-03 1.296061229705810547e+01 6.454541039727176464e-04 1.383604907989501953e+01 2.852187203958796201e-04 7.480710506856786068e+00 2.852187203958796201e-04
1.620599746704101562e+01 3.484982562611845750e-03 1.402512359619140625e+01 1.837609351034008532e-03 1.508015918731689453e+01 5.546839142213873296e-04 8.775679984231791408e+00 5.546839142213873296e-04
2.044766998291015625e+01 8.510606900098674488e-02 1.732751083374023438e+01 7.512260440587309462e-03 1.860344696044921875e+01 1.997433827740971966e-03 1.230607120931849607e+01 1.997433827740971966e-03
1.653932952880859375e+01 3.986948651750692185e-03 1.396433448791503906e+01 1.409686443825639707e-03 1.513140106201171875e+01 5.908056338941273123e-04 8.799238884586831233e+00 5.908056338941273123e-04
2.095512962341308594e+01 9.933378554797875348e-02 1.766931343078613281e+01 1.193764122765259006e-02 1.900914192199707031e+01 2.289010430904945582e-03 1.266439036674274199e+01 2.289010430904945582e-03
2.071428680419921875e+01 6.829760439300437691e-02 1.756399154663085938e+01 1.371863538680187511e-02 1.886739540100097656e+01 1.871773863065652336e-03 1.255383926265563233e+01 1.871773863065652336e-03
1.971530151367187500e+01 4.512119738011272779e-02 1.631302261352539062e+01 6.304366904913157911e-03 1.765548896789550781e+01 1.287603244145956284e-03 1.132369381964644184e+01 1.287603244145956284e-03
1.961894226074218750e+01 5.449664485743131725e-02 1.651124000549316406e+01 5.948713663487583889e-03 1.779142379760742188e+01 1.006762481948892491e-03 1.139929962360763938e+01 1.006762481948892491e-03
2.012547874450683594e+01 7.410325944861693992e-02 1.689556694030761719e+01 1.457045931874889275e-02 1.819718933105468750e+01 1.808433268496987796e-03 1.185417056380306100e+01 1.808433268496987796e-03
1.500279617309570312e+01 1.329933343954599334e-03 1.318844699859619141e+01 8.541717622024199178e-04 1.411565876007080078e+01 3.128421086101465629e-04 7.809718622326849768e+00 3.128421086101465629e-04
1.890856742858886719e+01 2.322042692363200656e-02 1.601663970947265625e+01 3.665758919937580837e-03 1.726514625549316406e+01 9.122300944641682438e-04 1.096534277445780603e+01 9.122300944641682438e-04
1.095832633972167969e+01 1.527745595080643674e-03 1.018107509613037109e+01 1.143838168384032732e-03 1.065102195739746094e+01 4.426991562896814033e-04 4.387245783245973030e+00 4.426991562896814033e-04
1.570200729370117188e+01 2.123577032617197761e-03 1.369713306427001953e+01 8.345218312754537062e-04 1.469383049011230469e+01 3.291412520759172400e-04 8.335109546409274373e+00 3.291412520759172400e-04
2.001454544067382812e+01 5.837308715286529393e-02 1.682409286499023438e+01 9.391358695107019511e-03 1.813052749633789062e+01 1.193451552061080981e-03 1.182539505395277324e+01 1.193451552061080981e-03
1.987588119506835938e+01 5.252325323183741623e-02 1.671448326110839844e+01 6.221451372386115238e-03 1.801170158386230469e+01 1.745664451543602275e-03 1.170886257869907432e+01 1.745664451543602275e-03
1.865921401977539062e+01 2.447636483531225732e-02 1.573044872283935547e+01 4.038329831426041086e-03 1.697194862365722656e+01 1.072555954199462709e-03 1.064617551425167363e+01 1.072555954199462709e-03
9.983325004577636719e+00 4.622545452731175613e-04 9.368098258972167969e+00 2.975673286580624542e-04 9.753199577331542969e+00 2.023087334297749766e-04 3.455078558977728420e+00 2.023087334297749766e-04
1.668821144104003906e+01 3.425694039619680761e-03 1.426886653900146484e+01 1.558557073655304857e-03 1.554540061950683594e+01 4.773975896268224748e-04 9.256360989691025054e+00 4.773975896268224748e-04
1.501076412200927734e+01 5.254567097271777357e-03 1.298056030273437500e+01 2.898660838090560445e-03 1.399040508270263672e+01 1.194180143076613689e-03 7.666096361113602597e+00 1.194180143076613689e-03
1.475766754150390625e+01 3.590931966087054436e-03 1.303438663482666016e+01 2.550560658345583237e-03 1.393162822723388672e+01 8.938520494200360902e-04 7.592367618829428011e+00 8.938520494200360902e-04
2.063595771789550781e+01 8.327870248361955718e-02 1.715100669860839844e+01 9.689103547913909681e-03 1.852858543395996094e+01 1.863937189649662266e-03 1.224111258115345713e+01 1.863937189649662266e-03
1.927186393737792969e+01 3.585155971669454905e-02 1.628674697875976562e+01 3.456716130548582230e-03 1.755715751647949219e+01 1.172409576490177335e-03 1.127772904583781965e+01 1.172409576490177335e-03
1.829090309143066406e+01 1.905855465800561713e-02 1.559630489349365234e+01 2.793497022065055766e-03 1.679671859741210938e+01 9.022713029692620455e-04 1.046403731543153626e+01 9.022713029692620455e-04
1.898717498779296875e+01 3.873247742727935899e-02 1.603613662719726562e+01 4.940795330276854039e-03 1.729557228088378906e+01 1.148102260356695424e-03 1.096308785134703534e+01 1.148102260356695424e-03
1.937466049194335938e+01 3.596570391449262216e-02 1.636447906494140625e+01 4.582120749716913841e-03 1.761484146118164062e+01 1.126242381666057871e-03 1.121343517654305089e+01 1.126242381666057871e-03
1.876176834106445312e+01 1.844496691418061676e-02 1.583403873443603516e+01 2.681282378093410856e-03 1.707598686218261719e+01 8.313328626325855366e-04 1.074971601173270130e+01 8.313328626325855366e-04
1.453000831604003906e+01 1.560853715559352940e-03 1.284336376190185547e+01 7.379033378196879532e-04 1.372635746002197266e+01 3.088453437435739442e-04 7.348246569286338570e+00 3.088453437435739442e-04
1.849576568603515625e+01 1.649997580020934676e-02 1.561944770812988281e+01 3.064335650578762799e-03 1.684919548034667969e+01 9.392876104162034990e-04 1.042444227179415250e+01 9.392876104162034990e-04
1.308351421356201172e+01 1.093729485613844808e-03 1.187829303741455078e+01 7.457795820459810904e-04 1.255554199218750000e+01 3.190044333040381141e-04 6.244773170700417708e+00 3.190044333040381141e-04
1.799315071105957031e+01 1.239024147413022095e-02 1.526436901092529297e+01 3.412471957132998113e-03 1.646865463256835938e+01 9.038400863194222517e-04 1.011086904508693074e+01 9.038400863194222517e-04
1.344874477386474609e+01 1.082090388623964134e-03 1.212255859375000000e+01 8.666223805992493258e-04 1.285261440277099609e+01 2.873066216195437929e-04 6.557586557559094587e+00 2.873066216195437929e-04
1.991255378723144531e+01 5.328187733571355944e-02 1.675066757202148438e+01 8.854947677387215929e-03 1.804128646850585938e+01 1.900661491108955256e-03 1.171629632436397728e+01 1.900661491108955256e-03
1.826959800720214844e+01 1.627092297483136857e-02 1.548494625091552734e+01 3.293910593463567939e-03 1.669928550720214844e+01 1.076174175191911379e-03 1.033822217466687121e+01 1.076174175191911379e-03
1.300880908966064453e+01 9.125631982375789373e-04 1.162105560302734375e+01 5.710994045257073532e-04 1.237714385986328125e+01 2.910422674431997845e-04 6.024522924126600287e+00 2.910422674431997845e-04
1.328514003753662109e+01 1.357437949749329496e-03 1.202132511138916016e+01 9.251617564503439610e-04 1.272392177581787109e+01 3.737442488970941969e-04 6.401778009879311782e+00 3.737442488970941969e-04
