# MIST version number  = 1.2     
# MESA revision number =     7503
# photometric system   = UBV(RI)c, 2MASS, Kepler, Hipparcos, Gaia (Vega)                 
# --------------------------------------------------------------------------------------
#  Yinit        Zinit   [Fe/H]   [a/Fe]  v/vcrit                                        
# 0.2733  1.61904E-02     0.06     0.00     0.40
# --------------------------------------------------------------------------------------
# number of isochrones =     1
# CCM89 extinction: Av =  0.000
# --------------------------------------------------------------------------------------
# number of EEPs, cols =  1474   34
#   1                               2                               3                               4                               5                               6                               7                               8                   9                  10                  11                  12                  13                  14                  15                  16                  17                  18                  19                  20                  21                  22                  23                  24                  25                  26                  27                  28                  29                  30                  31                  32                  33                  34
# EEP                isochrone_age_yr                    initial_mass                       star_mass                        log_Teff                           log_g                           log_L                     [Fe/H]_init              [Fe/H]           Bessell_U           Bessell_B           Bessell_V           Bessell_R           Bessell_I             2MASS_J             2MASS_H            2MASS_Ks           Kepler_Kp          Kepler_D51        Hipparcos_Hp             Tycho_B             Tycho_V       Gaia_G_DR2Rev      Gaia_BP_DR2Rev      Gaia_RP_DR2Rev          Gaia_G_MAW        Gaia_BP_MAWb        Gaia_BP_MAWf         Gaia_RP_MAW                TESS         Gaia_G_EDR3        Gaia_BP_EDR3        Gaia_RP_EDR3               phase
  237         5.0000000000000286E+009         1.8371241555923640E-001         1.8371139291000602E-001         3.4948035968197679E+000         5.0719222833595463E+000        -2.4493554433127915E+000         5.9999999999999998E-002            0.121265           15.943495           14.900698           13.458937           12.168015           10.539975            8.944255            8.297064            8.078167           12.085741           14.158175           13.337960           15.116451           13.702051           12.030404           13.726879           10.841731           12.029598           13.681400           13.723611           10.818153           10.727841           12.048906           13.703334           10.815373            0.000000
  238         5.0000000000000286E+009         1.9385066431155037E-001         1.9384953979339176E-001         3.4976170098786192E+000         5.0587972504957266E+000        -2.3996625386710870E+000         5.9999999999999998E-002            0.121366           15.733524           14.698569           13.263567           11.996162           10.397893            8.829028            8.182879            7.964598           11.927608           13.955487           13.155173           14.915524           13.504635           11.878219           13.531857           10.698841           11.875944           13.486490           13.528757           10.675441           10.588754           11.895288           13.508162           10.672746            0.000000
  239         5.0000000000000286E+009         2.0352044941658101E-001         2.0351922063581890E-001         3.5002957395753205E+000         5.0462164108703522E+000        -2.3522710997685863E+000         5.9999999999999998E-002            0.121468           15.536077           14.508095           13.079401           11.833518           10.262992            8.718972            8.073892            7.855757           11.777564           13.764704           12.982418           14.725651           13.318537           11.733655           13.348004           10.563047           11.730037           13.302744           13.345067           10.539810           10.456470           11.749413           13.324173           10.537203            0.000000
  240         5.0000000000000286E+009         2.1329495435432472E-001         2.1329361363546556E-001         3.5030010931581788E+000         5.0334041837818715E+000        -2.3042870782316585E+000         5.9999999999999998E-002            0.121574           15.338984           14.317564           12.895265           11.670300           10.126964            8.607361            7.963040            7.745542           11.626512           13.574257           12.809305           14.535661           13.132467           11.587946           13.164176           10.426053           11.583020           13.119028           13.161406           10.402976           10.322906           11.602429           13.140219           10.400458            0.000000
  241         5.0000000000000286E+009         2.2014668882525099E-001         2.2014526600622369E-001         3.5048213749638317E+000         5.0252513276654422E+000        -2.2730984354209829E+000         5.9999999999999998E-002            0.121653           15.211012           14.193498           12.775484           11.564097           10.038429            8.534903            7.890954            7.674129           11.528114           13.450602           12.696670           14.412831           13.011404           11.493030           13.044593           10.336874           11.487251           12.999521           13.041936           10.313900           10.235964           11.506684           13.020562           10.311442            0.000000
  242         5.0000000000000286E+009         2.2448344794558586E-001         2.2448196946756702E-001         3.5058854168886699E+000         5.0210715071794647E+000        -2.2562614013938642E+000         5.9999999999999998E-002            0.121703           15.140749           14.125144           12.709561           11.505875            9.990250            8.495979            7.852168            7.635624           11.474292           13.382669           12.634796           14.345228           12.944744           11.441194           12.978776           10.288328           11.434928           12.933746           12.976185           10.265415           10.188697           11.454375           12.954705           10.262990            0.000000
  243         5.0000000000000286E+009         2.2903649277560117E-001         2.2903495475750801E-001         3.5070029549110253E+000         5.0166203104319820E+000        -2.2385202236868600E+000         5.9999999999999998E-002            0.121753           15.067366           14.053706           12.640688           11.444882            9.939658            8.454925            7.811226            7.595045           11.417821           13.311743           12.570032           14.274556           12.875102           11.386762           12.910007           10.237328           11.379998           12.865023           12.907484           10.214477           10.139012           11.399460           12.885896           10.212089            0.000000
  244         5.0000000000000286E+009         2.3350259389985981E-001         2.3350105827846318E-001         3.5080049649973906E+000         5.0141363372076695E+000        -2.2253499867530877E+000         5.9999999999999998E-002            0.121738           15.010073           13.997423           12.586411           11.397344            9.901206            8.424881            7.781186            7.565347           11.374215           13.256100           12.519257           14.219069           12.820166           11.344937           12.855797           10.198519           11.337739           12.810848           12.853336           10.175722           10.101359           11.357214           12.831653           10.173366            0.000000
  245         5.0000000000000286E+009         2.3790141682465496E-001         2.3789982179528557E-001         3.5090859033482324E+000         5.0097423885330929E+000        -2.2081111159805280E+000         5.9999999999999998E-002            0.121785           14.939945           13.929053           12.520534           11.338706            9.852364            8.384917            7.741280            7.525740           11.319771           13.188349           12.457090           14.151605           12.753555           11.292377           12.790007           10.149234           11.284724           12.745101           12.787611           10.126495           10.053295           11.304214           12.765825           10.124178            0.000000
  246         5.0000000000000286E+009         2.4248225080994495E-001         2.4248059104263570E-001         3.5102120629309943E+000         5.0050798686218867E+000        -2.1900703384249969E+000         5.9999999999999998E-002            0.121830           14.867235           13.858110           12.452195           11.277710            9.801432            8.343051            7.699446            7.484217           11.263047           13.118113           12.392480           14.081972           12.684460           11.237572           12.721751           10.097817           11.229459           12.676892           12.719424           10.075136           10.003121           11.248960           12.697534           10.072863            0.000000
  247         5.0000000000000286E+009         2.4704074286355074E-001         2.4703901635899606E-001         3.5113330237816065E+000         5.0003779063339433E+000        -2.1720730152018266E+000         5.9999999999999998E-002            0.121873           14.795326           13.787881           12.384558           11.217183            9.750784            8.301250            7.657648            7.442728           11.206678           13.048650           12.328418           14.012831           12.616074           11.183068           12.654189           10.046662           11.174510           12.609376           12.651931           10.024039            9.953177           11.194025           12.629937           10.021811            0.000000
  248         5.0000000000000286E+009         2.5141396910175756E-001         2.5141217518209036E-001         3.5124088262058946E+000         4.9957971802105954E+000        -2.1547592152084230E+000         5.9999999999999998E-002            0.121916           14.728237           13.721853           12.321147           11.160010            9.702291            8.260770            7.616977            7.402436           11.153120           12.983866           12.268068           13.946909           12.551970           11.131155           12.590782            9.997743           11.122202           12.546006           12.588573            9.975171            9.905340           11.141728           12.566503            9.972981            0.000000
  249         5.0000000000000286E+009         2.5569103689274364E-001         2.5568917405136193E-001         3.5134616385309911E+000         4.9912390872873527E+000        -2.1377460306486276E+000         5.9999999999999998E-002            0.121956           14.663023           13.657569           12.259433           11.104205            9.654806            8.220945            7.576920            7.362758           11.100750           12.920881           12.209219           13.882761           12.489584           11.080349           12.529060            9.949827           11.071022           12.484321           12.526898            9.927304            9.858457           11.090559           12.504757            9.925154            0.000000
  250         5.0000000000000286E+009         2.6166523403870923E-001         2.6166328598486904E-001         3.5149003456595880E+000         4.9861734751896636E+000        -2.1173700816527901E+000         5.9999999999999998E-002            0.122005           14.582228           13.577568           12.182672           11.035295            9.597226            8.173728            7.529335            7.315684           11.036485           12.842684           12.136246           13.803079           12.411922           11.018194           12.452287            9.891625           11.008368           12.407593           12.450193            9.869170            9.801650           11.027919           12.427950            9.867075            0.000000
  251         5.0000000000000286E+009         2.8367325645545927E-001         2.8366650480795574E-001         3.5214806613639023E+000         4.9616062943848629E+000        -2.0339052544699103E+000         5.9999999999999998E-002            0.124873           14.246746           13.244336           11.864086           10.749463            9.361057            7.981897            7.335175            7.123868           10.770383           12.518373           11.832870           13.471609           12.089289           10.761022           12.133569            9.652144           10.749126           12.089090           12.131792            9.629974            9.568097           10.768739           12.109100            9.628172            0.000000
  252         5.0000000000000286E+009         2.8914720893602214E-001         2.8914038290011396E-001         3.5227749091637830E+000         4.9570862271284737E+000        -2.0155395591560277E+000         5.9999999999999998E-002            0.124916           14.177781           13.175293           11.797689           10.689016            9.310166            7.939317            7.292017            7.081164           10.713628           12.451139           11.769152           13.403070           12.022110           10.705928           12.067139            9.600507           10.693658           12.022701           12.065429            9.578391            9.517567           10.713281           12.042645            9.576652            0.000000
  253         5.0000000000000286E+009         2.9461160643345446E-001         2.9460470243780962E-001         3.5239723109171597E+000         4.9524784717403456E+000        -1.9974886921699482E+000         5.9999999999999998E-002            0.124953           14.111710           13.109131           11.733999           10.630699            9.260586            7.897270            7.249393            7.038964           10.658650           12.386665           11.707849           13.337357           11.957696           10.652453           12.003414            9.550212           10.639846           11.959016           12.001766            9.528143            9.468272           10.659479           11.978901            9.526465            0.000000
  254         5.0000000000000286E+009         2.9989927347791701E-001         2.9989229181582044E-001         3.5253948445832219E+000         4.9481000237016524E+000        -1.9790532769485527E+000         5.9999999999999998E-002            0.124998           14.041510           13.038427           11.665969           10.568930            9.209269            7.854884            7.206311            6.996377           10.600853           12.317945           11.642594           13.267302           11.888816           10.596440           11.935345            9.498003           10.583435           11.890991           11.933775            9.475992            9.417252           10.603081           11.910807            9.474389            0.000000
  255         5.0000000000000286E+009         3.0508679366701674E-001         3.0507973234193586E-001         3.5265902044533011E+000         4.9437053980849299E+000        -1.9616745605628501E+000         5.9999999999999998E-002            0.125034           13.978106           12.974638           11.604488           10.512588            9.161592            7.814542            7.165334            6.955821           10.547768           12.255829           11.583359           13.204021           11.826618           10.544816           11.873830            9.449553           10.531488           11.829514           11.872325            9.427588            9.369775           10.551144           11.849272            9.426051            0.000000
  256         5.0000000000000286E+009         3.1030515761998984E-001         3.1029804597415311E-001         3.5277609029142973E+000         4.9392856092232282E+000        -1.9443075454930525E+000         5.9999999999999998E-002            0.125023           13.915499           12.911556           11.543620           10.456665            9.114130            7.774180            7.124318            6.915220           10.495001           12.194376           11.524635           13.141451           11.765047           10.493463           11.812928            9.401308           10.479826           11.768649           11.811487            9.379389            9.322474           10.499491           11.788350            9.377917            0.000000
  257         5.0000000000000286E+009         3.1381784115189648E-001         3.1381067176446037E-001         3.5287939357582525E+000         4.9366885285189079E+000        -1.9325768098313252E+000         5.9999999999999998E-002            0.125055           13.869736           12.865018           11.498776           10.416141            9.081209            7.747594            7.097179            6.888437           10.457308           12.149244           11.481678           13.095494           11.719593           10.457035           11.768055            9.367664           10.443122           11.723807           11.766676            9.345787            9.289672           10.462796           11.743460            9.344374            0.000000
  258         5.0000000000000286E+009         3.1754610305253922E-001         3.1753887103266326E-001         3.5298352767595653E+000         4.9339834111464596E+000        -1.9203978674859223E+000         5.9999999999999998E-002            0.125084           13.822950           12.817395           11.452831           10.374490            9.047209            7.719920            7.068930            6.860549           10.418489           12.103027           11.437596           13.048470           11.673031           10.419479           11.722080            9.332916           10.405293           11.677864           11.720764            9.311079            9.255764           10.424975           11.697468            9.309728            0.000000
  259         5.0000000000000286E+009         3.1846011561877108E-001         3.1845285325767314E-001         3.5300358195131865E+000         4.9333680216615967E+000        -1.9177240873664585E+000         5.9999999999999998E-002            0.125116           13.813129           12.807429           11.443203           10.365680            9.039857            7.713768            7.062662            6.854352           10.410214           12.093333           11.428320           13.038610           11.663284           10.411445           11.712447            9.325418           10.397205           11.668237           11.711142            9.303589            9.248425           10.416891           11.687830            9.302249            0.000000
  260         5.0000000000000286E+009         3.1916964868278475E-001         3.1916236140624982E-001         3.5302072787551335E+000         4.9328729778209839E+000        -1.9155649099324397E+000         5.9999999999999998E-002            0.125146           13.805056           12.799225           11.435282           10.358457            9.033885            7.708826            7.057621            6.849372           10.403452           12.085360           11.420700           13.030500           11.655260           10.404888           11.704520            9.319322           10.390604           11.660316           11.703225            9.297499            9.242465           10.410291           11.679901            9.296169            0.000000
  261         5.0000000000000286E+009         3.1994310980126162E-001         3.1993579596818145E-001         3.5304061674618832E+000         4.9323797675278591E+000        -1.9132097033144631E+000         5.9999999999999998E-002            0.125174           13.796090           12.790087           11.426456           10.350442            9.027329            7.703469            7.052153            6.843973           10.395974           12.076488           11.412225           13.021480           11.646318           10.397649           11.695690            9.312619           10.383314           11.651491           11.694407            9.290805            9.235922           10.403002           11.671067            9.289487            0.000000
  262         5.0000000000000286E+009         3.2069220610948490E-001         3.2068487063932627E-001         3.5305984418325367E+000         4.9318838260492130E+000        -1.9109118108147993E+000         5.9999999999999998E-002            0.125205           13.787374           12.781209           11.417884           10.342649            9.020944            7.698237            7.046813            6.838700           10.388699           12.067868           11.403989           13.012713           11.637631           10.390603           11.687112            9.306091           10.376219           11.642919           11.685841            9.284284            9.229548           10.395908           11.662486            9.282977            0.000000
  263         5.0000000000000286E+009         3.2143114389609712E-001         3.2142378970597724E-001         3.5307761866086183E+000         4.9313803822318301E+000        -1.9086804163839974E+000         5.9999999999999998E-002            0.125234           13.779046           12.772738           11.409701           10.335186            9.014777            7.693133            7.041606            6.833556           10.381710           12.059635           11.396116           13.004342           11.629343           10.383828           11.678925            9.299793           10.369397           11.634737           11.677664            9.277992            9.223391           10.389089           11.654295            9.276697            0.000000
  264         5.0000000000000286E+009         3.2222738848392074E-001         3.2222001721248361E-001         3.5310091322425934E+000         4.9308921978511968E+000        -1.9061625782184863E+000         5.9999999999999998E-002            0.125261           13.769185           12.762651           11.399961           10.326390            9.007701            7.687465            7.035809            6.827841           10.373547           12.049857           11.386785           12.994402           11.619467           10.375945           11.669178            9.292542           10.361454           11.624997           11.667933            9.270751            9.216327           10.381147           11.644546            9.269469            0.000000
  265         5.0000000000000286E+009         3.2299966175117523E-001         3.2299709089457218E-001         3.5304854322186952E+000         4.9408125987801883E+000        -1.9164482853329170E+000         5.9999999999999998E-002            0.121959           13.804335           12.796257           11.431199           10.355709            9.034423            7.712051            7.061015            6.852779           10.402033           12.082613           11.417369           13.028540           11.651064           10.404034           11.700435            9.319555           10.389627           11.656224           11.699179            9.297752            9.243062           10.409321           11.675801            9.296444            0.000000
